original_price,discount_rate,user_offer,round_number,category_encoded,gap_pct,threshold_gap_pct,user_offer_pct,round_progress,is_regular,total_orders,tenure_days,loyalty_factor,negotiation_momentum,aggression_score,price_anchor_ratio,deal_prob_estimate,market_encoded,abs_gap_norm,prev_user_offer_pct,ai_counter_offer
7370,0.25953046946896285,3780,2,3,0.4871,-0.228,0.5128,0.3333,1,28,160,0.0344,0.0136,1.0,0.5129,0.0,0,0.3663,0.5,5460
3180,0.23366475107128326,1960,4,3,0.3836,-0.1509,0.6155,0.6667,0,3,15,0.0,0.0314,1.0,0.6164,0.0,2,0.1245,0.5835,2440
3150,0.22210789607022324,2310,4,5,0.2667,-0.0444,0.7321,0.6667,0,1,3,0.0,0.0508,1.0,0.7333,0.0,2,0.1732,0.6835,2450
1650,0.39211651325607844,1000,4,1,0.3939,0.0,0.6089,0.6667,1,40,1055,0.06,0.0,1.0,0.6061,0.0,1,0.0439,0.6062,1000
2800,0.13318450498648718,2700,2,5,0.0357,0.0964,0.9643,0.3333,1,52,485,0.06,0.0714,0.0,0.9643,0.4543,1,0.0206,0.8927,2430
2040,0.17210706429825318,1980,5,5,0.0294,0.1422,0.971,0.8333,0,4,14,0.0,0.049,0.0,0.9706,0.8687,1,0.0124,0.9224,1690
1980,0.16583671539449862,1000,4,4,0.4949,-0.3283,0.5031,0.6667,1,39,318,0.0517,0.0051,1.0,0.5051,0.0,2,0.5158,0.5,1650
12970,0.36164906341377895,7540,2,1,0.4187,-0.0571,0.5816,0.3333,1,48,755,0.06,0.0532,1.0,0.5813,0.0,2,0.3669,0.5281,8280
7840,0.4386848381556415,6790,3,2,0.1339,0.3048,0.8659,0.5,0,0,14,0.0,0.0612,0.0,0.8661,0.75,1,0.0533,0.8043,4400
1800,0.12130553347731678,1720,5,4,0.0444,0.0778,0.956,0.8333,0,2,28,0.0,0.0222,0.0,0.9556,0.4753,2,0.0421,0.936,1580
6070,0.29317472656389665,5650,4,3,0.0692,0.2241,0.9301,0.6667,1,32,219,0.0408,0.0511,0.0,0.9308,0.8673,0,0.0429,0.8794,4290
1860,0.18715156617111306,1540,6,5,0.172,0.0161,0.8285,1.0,0,3,23,0.0,0.0161,0.8286,0.828,0.1075,2,0.066,0.8108,1510
10520,0.3312075835580711,5850,1,2,0.4439,-0.1131,0.5559,0.1667,0,1,2,0.0,0.0,1.0,0.5561,0.0,1,0.2371,0.5559,7900
78140,0.1527592533295578,49980,5,0,0.3604,-0.2076,0.6396,0.8333,0,1,5,0.0,0.0545,1.0,0.6396,0.0,1,0.3542,0.5851,66200
3820,0.13475597839709907,3380,6,3,0.1152,0.0183,0.8844,1.0,0,0,8,0.0,0.0524,0.7255,0.8848,0.1222,2,0.0449,0.8337,3310
720,0.08303615713483226,560,2,4,0.2222,-0.1389,0.7789,0.3333,0,0,7,0.0,0.0556,1.0,0.7778,0.0,0,0.0842,0.7273,660
10200,0.41760805962038605,9670,2,1,0.052,0.3657,0.9481,0.3333,1,30,653,0.0561,0.0206,0.0,0.948,0.7041,0,0.0358,0.9275,5940
14490,0.3291467268035488,8130,3,1,0.4389,-0.1097,0.5614,0.5,1,24,181,0.0312,0.0559,1.0,0.5611,0.0,0,0.4297,0.5053,9720
3260,0.08786298424777197,2860,4,5,0.1227,-0.0337,0.8777,0.6667,0,2,24,0.0,0.0,1.0,0.8773,0.0,1,0.0825,0.8769,2970
1450,0.08558736312452002,840,5,4,0.4207,-0.3379,0.5806,0.8333,1,37,717,0.06,0.0552,1.0,0.5793,0.0,2,0.3211,0.5211,1330
6440,0.13766163651195445,5300,6,3,0.177,-0.0388,0.8222,1.0,1,38,827,0.06,0.0714,1.0,0.823,0.0,1,0.1163,0.7508,5550
